user_id,artistname,trackname,playlistname
435faeede7f140d0ab8b4f7765558ecf,Terry Malts,Can't Tell No One,AMPpod 12
435faeede7f140d0ab8b4f7765558ecf,The Soft Moon,Die Life,AMPpod 12
435faeede7f140d0ab8b4f7765558ecf,Queens Of The Stone Age,First It Giveth,AMPpod 12
435faeede7f140d0ab8b4f7765558ecf,Julia Holter,In the Same Room,AMPpod 12
435faeede7f140d0ab8b4f7765558ecf,Crystal Castles,Kerosene,AMPpod 12
435faeede7f140d0ab8b4f7765558ecf,Portico Quartet,Lacker Boo,AMPpod 12
435faeede7f140d0ab8b4f7765558ecf,Santigold,Look At These Hoes,AMPpod 12
435faeede7f140d0ab8b4f7765558ecf,School Of Seven Bells,Scavenger,AMPpod 12
435faeede7f140d0ab8b4f7765558ecf,Stumbleine,Solar Flare,AMPpod 12
435faeede7f140d0ab8b4f7765558ecf,SNAP!,"The Power - 7 Version""",AMPpod 12
435faeede7f140d0ab8b4f7765558ecf,Holy Other,Yr Love,AMPpod 12
435faeede7f140d0ab8b4f7765558ecf,Iamamiwhoami,Drops,AMPpod 13
435faeede7f140d0ab8b4f7765558ecf,Goat,Goatlord,AMPpod 13
435faeede7f140d0ab8b4f7765558ecf,The Mars Volta,Roulette Dares (The Haunt Of),AMPpod 13
435faeede7f140d0ab8b4f7765558ecf,Link Wray & His Ray Men,Rumble,AMPpod 13
435faeede7f140d0ab8b4f7765558ecf,Shearwater,Star of the Age,AMPpod 13
435faeede7f140d0ab8b4f7765558ecf,Metric,Synthetica,AMPpod 13
435faeede7f140d0ab8b4f7765558ecf,Gallon Drunk,The Perfect Dancer,AMPpod 13
435faeede7f140d0ab8b4f7765558ecf,Janelle Monáe,Tightrope - feat. Big Boi,AMPpod 13
435faeede7f140d0ab8b4f7765558ecf,Ghosting Season,Time Without Question - Original Mix,AMPpod 13
435faeede7f140d0ab8b4f7765558ecf,Massive Attack,Unfinished Sympathy - 2006 Digital Remaster,AMPpod 13
435faeede7f140d0ab8b4f7765558ecf,Liars,WIXIW,AMPpod 13
435faeede7f140d0ab8b4f7765558ecf,Stevie Wonder,As,AMPpod 15 - Valentines Special
435faeede7f140d0ab8b4f7765558ecf,Björk,Cocoon,AMPpod 15 - Valentines Special
435faeede7f140d0ab8b4f7765558ecf,Daft Punk,Digital Love,AMPpod 15 - Valentines Special
435faeede7f140d0ab8b4f7765558ecf,Foo Fighters,Everlong,AMPpod 15 - Valentines Special
435faeede7f140d0ab8b4f7765558ecf,The Knife,Heartbeats,AMPpod 15 - Valentines Special
435faeede7f140d0ab8b4f7765558ecf,Nick Cave & The Bad Seeds,Into My Arms - 2011 - Remaster,AMPpod 15 - Valentines Special
435faeede7f140d0ab8b4f7765558ecf,Hot Chip,Look After Me,AMPpod 15 - Valentines Special
435faeede7f140d0ab8b4f7765558ecf,Jeff Buckley,"Lover, You Should've Come Over",AMPpod 15 - Valentines Special
435faeede7f140d0ab8b4f7765558ecf,Queens Of The Stone Age,Make It Wit Chu,AMPpod 15 - Valentines Special
435faeede7f140d0ab8b4f7765558ecf,Arcade Fire,Neighborhood #1 (Tunnels),AMPpod 15 - Valentines Special
435faeede7f140d0ab8b4f7765558ecf,Blur,Tender,AMPpod 15 - Valentines Special
435faeede7f140d0ab8b4f7765558ecf,Kendrick Lamar,"Bitch, Don’t Kill My Vibe",AMPpod 16
435faeede7f140d0ab8b4f7765558ecf,The Stone Roses,I Wanna Be Adored - Remastered,AMPpod 16
435faeede7f140d0ab8b4f7765558ecf,Neil Halstead,Loose Change,AMPpod 16
435faeede7f140d0ab8b4f7765558ecf,Melody's Echo Chamber,Mount Hopeless,AMPpod 16
435faeede7f140d0ab8b4f7765558ecf,Necessary,Se Olvidan Que,AMPpod 16
435faeede7f140d0ab8b4f7765558ecf,Torche,Solitary Traveler,AMPpod 16
435faeede7f140d0ab8b4f7765558ecf,Anna Von Hausswolff,Sova,AMPpod 16
435faeede7f140d0ab8b4f7765558ecf,Twin Shadow,The One,AMPpod 16
435faeede7f140d0ab8b4f7765558ecf,Robert Hood,The Wheel,AMPpod 16
435faeede7f140d0ab8b4f7765558ecf,Phantogram,Turning Into Stone,AMPpod 16
435faeede7f140d0ab8b4f7765558ecf,Earl Sweatshirt,Chum,AMPpod 17
435faeede7f140d0ab8b4f7765558ecf,"Lee Scratch"" Perry""",Disco Devil,AMPpod 17
435faeede7f140d0ab8b4f7765558ecf,Monoswezi,Hondo,AMPpod 17
435faeede7f140d0ab8b4f7765558ecf,The History Of Apple Pie,Mallory,AMPpod 17
435faeede7f140d0ab8b4f7765558ecf,Autechre,Montreal,AMPpod 17
435faeede7f140d0ab8b4f7765558ecf,Tall Ships,Murmurations,AMPpod 17
435faeede7f140d0ab8b4f7765558ecf,Josephine Foster,Panorama Wide,AMPpod 17
435faeede7f140d0ab8b4f7765558ecf,Idlewild,Roseability,AMPpod 17
435faeede7f140d0ab8b4f7765558ecf,Nosaj Thing,Safe,AMPpod 17
435faeede7f140d0ab8b4f7765558ecf,Veronica Falls,Shooting Star,AMPpod 17
435faeede7f140d0ab8b4f7765558ecf,Chairlift,Take It Out On Me,AMPpod 17
435faeede7f140d0ab8b4f7765558ecf,The Twilight Sad,Dead City,AMPpod 18
435faeede7f140d0ab8b4f7765558ecf,Tegan And Sara,"Goodbye, Goodbye",AMPpod 18
435faeede7f140d0ab8b4f7765558ecf,Villagers,Grateful Song,AMPpod 18
435faeede7f140d0ab8b4f7765558ecf,SBTRKT,Hold On (feat. Sampha),AMPpod 18
435faeede7f140d0ab8b4f7765558ecf,Sleigh Bells,Leader of the Pack,AMPpod 18
435faeede7f140d0ab8b4f7765558ecf,Snoop Dogg,Lodi Dodi,AMPpod 18
435faeede7f140d0ab8b4f7765558ecf,John Martyn,May You Never,AMPpod 18
435faeede7f140d0ab8b4f7765558ecf,The Sea and Cake,New Patterns,AMPpod 18
435faeede7f140d0ab8b4f7765558ecf,Mac Demarco,Ode to Viceroy,AMPpod 18
435faeede7f140d0ab8b4f7765558ecf,Unknown Mortal Orchestra,One at a Time,AMPpod 18
435faeede7f140d0ab8b4f7765558ecf,Mala,The Tunnel,AMPpod 18
435faeede7f140d0ab8b4f7765558ecf,Diiv,Human,AMPpod 19
435faeede7f140d0ab8b4f7765558ecf,Porcelain Raft,Put Me To Sleep,AMPpod 19
435faeede7f140d0ab8b4f7765558ecf,Woodpecker Wooliams,Red Kite - Prelude,AMPpod 19
435faeede7f140d0ab8b4f7765558ecf,Nas,Represent,AMPpod 19
435faeede7f140d0ab8b4f7765558ecf,Pere Ubu,The Road Trip of Bipasha Ahmed,AMPpod 19
435faeede7f140d0ab8b4f7765558ecf,Wild Nothing,This Chain Won't Break,AMPpod 19
435faeede7f140d0ab8b4f7765558ecf,Amateur Best,Too Much,AMPpod 19
435faeede7f140d0ab8b4f7765558ecf,2:54,Wait/Awake,AMPpod 19
435faeede7f140d0ab8b4f7765558ecf,Islet,We Bow,AMPpod 19
435faeede7f140d0ab8b4f7765558ecf,Aphex Twin,Windowlicker,AMPpod 19
435faeede7f140d0ab8b4f7765558ecf,Inc.,black wings,AMPpod 19
435faeede7f140d0ab8b4f7765558ecf,Dirty Projectors,About to Die,AMPpod 1
435faeede7f140d0ab8b4f7765558ecf,Hot Chip,Boy From School - Radio Edit,AMPpod 1
435faeede7f140d0ab8b4f7765558ecf,Death Grips,Guillotine,AMPpod 1
435faeede7f140d0ab8b4f7765558ecf,Luke Abbott,Holkham Drones,AMPpod 1
435faeede7f140d0ab8b4f7765558ecf,Al Green,How Can You Mend A Broken Heart?,AMPpod 1
435faeede7f140d0ab8b4f7765558ecf,Parades,Loserspeak in New Tongue,AMPpod 1
435faeede7f140d0ab8b4f7765558ecf,Zomby/Reark,Natalia’s Song,AMPpod 1
435faeede7f140d0ab8b4f7765558ecf,TV On The Radio,Staring At The Sun,AMPpod 1
435faeede7f140d0ab8b4f7765558ecf,Talking Heads,Take Me To The River - 2005 Remastered Version,AMPpod 1
435faeede7f140d0ab8b4f7765558ecf,The Night Marchers,2 Guitars Sing,AMPpod 20
435faeede7f140d0ab8b4f7765558ecf,Cat Power,"3,6,9",AMPpod 20
435faeede7f140d0ab8b4f7765558ecf,Patrick Wolf,Bitten,AMPpod 20
435faeede7f140d0ab8b4f7765558ecf,Grouper,Cloud in Places,AMPpod 20
435faeede7f140d0ab8b4f7765558ecf,Jamie Lidell,Don't You Love Me,AMPpod 20
435faeede7f140d0ab8b4f7765558ecf,Ladytron,High Rise,AMPpod 20
435faeede7f140d0ab8b4f7765558ecf,My Bloody Valentine,Loomer - Remastered Version,AMPpod 20
435faeede7f140d0ab8b4f7765558ecf,Autre Ne Veut,Play by Play,AMPpod 20
435faeede7f140d0ab8b4f7765558ecf,Dutch Uncles,Pondage,AMPpod 20
435faeede7f140d0ab8b4f7765558ecf,Flume,Stay Close,AMPpod 20
435faeede7f140d0ab8b4f7765558ecf,Fuck Buttons,The Lisbon Maru,AMPpod 20
435faeede7f140d0ab8b4f7765558ecf,Basement Jaxx,Always Be There,AMPpod 21
435faeede7f140d0ab8b4f7765558ecf,Toro Y Moi,Cola,AMPpod 21
435faeede7f140d0ab8b4f7765558ecf,Applescal,El Diablo,AMPpod 21
435faeede7f140d0ab8b4f7765558ecf,Deap Vally,Lies,AMPpod 21
435faeede7f140d0ab8b4f7765558ecf,Kavinsky,Nightcall,AMPpod 21
435faeede7f140d0ab8b4f7765558ecf,Parquet Courts,Picture Of Health,AMPpod 21
435faeede7f140d0ab8b4f7765558ecf,Boody,Soda,AMPpod 21
435faeede7f140d0ab8b4f7765558ecf,FaltyDL,Stay I'm Changed,AMPpod 21
435faeede7f140d0ab8b4f7765558ecf,The Joy Formidable,This Ladder Is Ours,AMPpod 21
435faeede7f140d0ab8b4f7765558ecf,FIDLAR,Whore,AMPpod 21
435faeede7f140d0ab8b4f7765558ecf,The White Stripes,You're Pretty Good Looking,AMPpod 21
435faeede7f140d0ab8b4f7765558ecf,Tanlines,Abby,AMPpod 22
435faeede7f140d0ab8b4f7765558ecf,Lower Dens,Alphabet Song,AMPpod 22
435faeede7f140d0ab8b4f7765558ecf,Thom Yorke,Atoms For Peace,AMPpod 22
435faeede7f140d0ab8b4f7765558ecf,Big Punisher,Beware,AMPpod 22
435faeede7f140d0ab8b4f7765558ecf,Light Asylum,End Of Days,AMPpod 22
435faeede7f140d0ab8b4f7765558ecf,Peaking Lights,Lo Dub High Dub,AMPpod 22
435faeede7f140d0ab8b4f7765558ecf,Bad Religion,My Head is Full of Ghosts,AMPpod 22
435faeede7f140d0ab8b4f7765558ecf,Samantha Crain,Somewhere All the Time,AMPpod 22
435faeede7f140d0ab8b4f7765558ecf,Fionn Regan,St. Anthony's Fire,AMPpod 22
435faeede7f140d0ab8b4f7765558ecf,Mount Moriah,Swannanoa,AMPpod 22
435faeede7f140d0ab8b4f7765558ecf,Wild Beasts,The Fun Powder Plot,AMPpod 22
435faeede7f140d0ab8b4f7765558ecf,The Cure,A Forest,AMPpod 23
435faeede7f140d0ab8b4f7765558ecf,Hunters,Ambulance Chaser,AMPpod 23
435faeede7f140d0ab8b4f7765558ecf,Suuns,Armed For Peace,AMPpod 23
435faeede7f140d0ab8b4f7765558ecf,Boy Friend,Bad Dreams,AMPpod 23
435faeede7f140d0ab8b4f7765558ecf,Phosphorescent,Down to Go,AMPpod 23
435faeede7f140d0ab8b4f7765558ecf,Pharmakon MTL,Grand Procession,AMPpod 23
435faeede7f140d0ab8b4f7765558ecf,Psychic Ills,One More Time,AMPpod 23
435faeede7f140d0ab8b4f7765558ecf,Eric B. & Rakim,Paid In Full,AMPpod 23
435faeede7f140d0ab8b4f7765558ecf,Wye Oak,Siamese,AMPpod 23
435faeede7f140d0ab8b4f7765558ecf,LV,Uthando Lwaka,AMPpod 23
435faeede7f140d0ab8b4f7765558ecf,Angel Haze,Werkin' Girls,AMPpod 23
435faeede7f140d0ab8b4f7765558ecf,Heathers,Circular Road,AMPpod 24
435faeede7f140d0ab8b4f7765558ecf,Happy Jawbone Family Band,Fireflies Made Out Of Dust,AMPpod 24
435faeede7f140d0ab8b4f7765558ecf,Slint,"Good Morning, Captain",AMPpod 24
435faeede7f140d0ab8b4f7765558ecf,Alabama Shakes,Heartbreaker,AMPpod 24
435faeede7f140d0ab8b4f7765558ecf,Hookworms,In Our Time,AMPpod 24
435faeede7f140d0ab8b4f7765558ecf,Forest Swords,Rattling Cage,AMPpod 24
435faeede7f140d0ab8b4f7765558ecf,Eminem,Role Model,AMPpod 24
435faeede7f140d0ab8b4f7765558ecf,L. Pierre,Sad Laugh,AMPpod 24
435faeede7f140d0ab8b4f7765558ecf,Moonface,Teary Eyes And Bloody Lips,AMPpod 24
435faeede7f140d0ab8b4f7765558ecf,Frightened Rabbit,The Woodpile,AMPpod 24
435faeede7f140d0ab8b4f7765558ecf,Soap&Skin,Voyage Voyage,AMPpod 24
435faeede7f140d0ab8b4f7765558ecf,Mazes,Bite,AMPpod 25
435faeede7f140d0ab8b4f7765558ecf,Local Natives,Black Balloons,AMPpod 25
435faeede7f140d0ab8b4f7765558ecf,double helix,Broken Glass,AMPpod 25
435faeede7f140d0ab8b4f7765558ecf,Ólafur Arnalds,"Hands, Be Still",AMPpod 25
435faeede7f140d0ab8b4f7765558ecf,Cold Specks,Heavy Hands,AMPpod 25
435faeede7f140d0ab8b4f7765558ecf,Rachel Zeffira,Here On In,AMPpod 25
435faeede7f140d0ab8b4f7765558ecf,Adamski,Killer - Edit,AMPpod 25
435faeede7f140d0ab8b4f7765558ecf,Gary Clark Jr.,Next Door Neighbor Blues,AMPpod 25
435faeede7f140d0ab8b4f7765558ecf,Radiohead,Paranoid Android,AMPpod 25
435faeede7f140d0ab8b4f7765558ecf,Deltron 3030,Time Keeps on Slipping,AMPpod 25
435faeede7f140d0ab8b4f7765558ecf,"Tyler, The Creator",Yonkers,AMPpod 25
435faeede7f140d0ab8b4f7765558ecf,be your own PET,Black Hole,AMPpod 26
435faeede7f140d0ab8b4f7765558ecf,Bomba Estéreo,Bosque,AMPpod 26
435faeede7f140d0ab8b4f7765558ecf,Colleen Green,Every Boy Wants a Normal Girl,AMPpod 26
435faeede7f140d0ab8b4f7765558ecf,Booker T. & The MG's,Green Onions,AMPpod 26
435faeede7f140d0ab8b4f7765558ecf,Martha Reeves & The Vandellas,Heatwave,AMPpod 26
435faeede7f140d0ab8b4f7765558ecf,Goldie,In My Soul - Internal Affairs,AMPpod 26
435faeede7f140d0ab8b4f7765558ecf,Purling Hiss,Lolita,AMPpod 26
435faeede7f140d0ab8b4f7765558ecf,Hiss Golden Messenger,O Little Light,AMPpod 26
435faeede7f140d0ab8b4f7765558ecf,Girls Names,Pittura Infamante,AMPpod 26
435faeede7f140d0ab8b4f7765558ecf,The Heavy,Set Me Free,AMPpod 26
435faeede7f140d0ab8b4f7765558ecf,Torres,Waterfall,AMPpod 26
435faeede7f140d0ab8b4f7765558ecf,Tinariwen,Asuf D Alwa,AMPpod 27 - ATP Special
435faeede7f140d0ab8b4f7765558ecf,Dark Dark Dark,Daydreaming,AMPpod 27 - ATP Special
435faeede7f140d0ab8b4f7765558ecf,Death Grips,Hacker,AMPpod 27 - ATP Special
435faeede7f140d0ab8b4f7765558ecf,!!!,Heart Of Hearts,AMPpod 27 - ATP Special
435faeede7f140d0ab8b4f7765558ecf,Celebration,Honeysuckle Blue,AMPpod 27 - ATP Special
435faeede7f140d0ab8b4f7765558ecf,Thee Oh Sees,I Come From The Mountain,AMPpod 27 - ATP Special
435faeede7f140d0ab8b4f7765558ecf,Madvillain,Meat Grinder,AMPpod 27 - ATP Special
435faeede7f140d0ab8b4f7765558ecf,TV On The Radio,Province,AMPpod 27 - ATP Special
435faeede7f140d0ab8b4f7765558ecf,Light Asylum,Shallow Tears,AMPpod 27 - ATP Special
435faeede7f140d0ab8b4f7765558ecf,Unknown Mortal Orchestra,Swim and Sleep [Like a Shark],AMPpod 27 - ATP Special
435faeede7f140d0ab8b4f7765558ecf,Why?,The Hollows,AMPpod 27 - ATP Special
435faeede7f140d0ab8b4f7765558ecf,Stevie Wonder,All Day Sucker,AMPpod 2
435faeede7f140d0ab8b4f7765558ecf,Oneohtrix Point Never,Andro,AMPpod 2
435faeede7f140d0ab8b4f7765558ecf,PJ Harvey,Beautiful Feeling,AMPpod 2
435faeede7f140d0ab8b4f7765558ecf,The Smashing Pumpkins,Bodies,AMPpod 2
435faeede7f140d0ab8b4f7765558ecf,The Roots,Don't Feel Right,AMPpod 2
435faeede7f140d0ab8b4f7765558ecf,Grimes,Genesis,AMPpod 2
435faeede7f140d0ab8b4f7765558ecf,Fever Ray,If I Had A Heart,AMPpod 2
435faeede7f140d0ab8b4f7765558ecf,Teebs,Jahara,AMPpod 2
435faeede7f140d0ab8b4f7765558ecf,John Talabot,So Will Be Now... feat. Pional,AMPpod 2
435faeede7f140d0ab8b4f7765558ecf,St. Vincent,Surgeon,AMPpod 2
435faeede7f140d0ab8b4f7765558ecf,The Horrors,Do You Remember,AMPpod 31 -  Glasto Special  - Friday
435faeede7f140d0ab8b4f7765558ecf,Seasick Steve,Dog House Boogie,AMPpod 31 -  Glasto Special  - Friday
435faeede7f140d0ab8b4f7765558ecf,Tame Impala,Feels Like We Only Go Backwards,AMPpod 31 -  Glasto Special  - Friday
435faeede7f140d0ab8b4f7765558ecf,Portishead,Glory Box,AMPpod 31 -  Glasto Special  - Friday
435faeede7f140d0ab8b4f7765558ecf,Goat,Golden Dawn,AMPpod 31 -  Glasto Special  - Friday
435faeede7f140d0ab8b4f7765558ecf,Foals,Late Night,AMPpod 31 -  Glasto Special  - Friday
435faeede7f140d0ab8b4f7765558ecf,Ali Farka Touré,Ruby,AMPpod 31 -  Glasto Special  - Friday
435faeede7f140d0ab8b4f7765558ecf,Gold Panda,Same Dream China,AMPpod 31 -  Glasto Special  - Friday
435faeede7f140d0ab8b4f7765558ecf,Simian Mobile Disco,Sleep Deprivation,AMPpod 31 -  Glasto Special  - Friday
435faeede7f140d0ab8b4f7765558ecf,Dinosaur Jr.,Watch the Corners,AMPpod 31 -  Glasto Special  - Friday
435faeede7f140d0ab8b4f7765558ecf,Disclosure,White Noise,AMPpod 31 -  Glasto Special  - Friday
435faeede7f140d0ab8b4f7765558ecf,Savages,City’s Full,AMPpod 32 -  Glasto Special  - Saturday
435faeede7f140d0ab8b4f7765558ecf,Public Enemy,Fight The Power,AMPpod 32 -  Glasto Special  - Saturday
435faeede7f140d0ab8b4f7765558ecf,Alabama Shakes,Hold On,AMPpod 32 -  Glasto Special  - Saturday
435faeede7f140d0ab8b4f7765558ecf,Sly & The Family Stone,If You Want Me To Stay,AMPpod 32 -  Glasto Special  - Saturday
435faeede7f140d0ab8b4f7765558ecf,Everything Everything,Kemosabe,AMPpod 32 -  Glasto Special  - Saturday
435faeede7f140d0ab8b4f7765558ecf,Rokia Traoré,Kouma,AMPpod 32 -  Glasto Special  - Saturday
435faeede7f140d0ab8b4f7765558ecf,Primal Scream,Movin' on Up,AMPpod 32 -  Glasto Special  - Saturday
435faeede7f140d0ab8b4f7765558ecf,Melody's Echo Chamber,"Some Time Alone, Alone",AMPpod 32 -  Glasto Special  - Saturday
435faeede7f140d0ab8b4f7765558ecf,The Rolling Stones,Sympathy For The Devil,AMPpod 32 -  Glasto Special  - Saturday
435faeede7f140d0ab8b4f7765558ecf,Calexico,The Ride Pt. 2,AMPpod 32 -  Glasto Special  - Saturday
435faeede7f140d0ab8b4f7765558ecf,Daughter,Youth,AMPpod 32 -  Glasto Special  - Saturday
435faeede7f140d0ab8b4f7765558ecf,Phoenix,1901,AMPpod 33 - Glasto Special - Sunday
435faeede7f140d0ab8b4f7765558ecf,Bobby Womack,Across 110th Street,AMPpod 33 - Glasto Special - Sunday
435faeede7f140d0ab8b4f7765558ecf,Michael Kiwanuka,Any Day Will Do Fine,AMPpod 33 - Glasto Special - Sunday
435faeede7f140d0ab8b4f7765558ecf,Deap Vally,Baby I Call Hell,AMPpod 33 - Glasto Special - Sunday
435faeede7f140d0ab8b4f7765558ecf,The Smashing Pumpkins,Cherub Rock,AMPpod 33 - Glasto Special - Sunday
435faeede7f140d0ab8b4f7765558ecf,The xx,Heart Skipped A Beat,AMPpod 33 - Glasto Special - Sunday
435faeede7f140d0ab8b4f7765558ecf,Steve Mason,Lonely,AMPpod 33 - Glasto Special - Sunday
435faeede7f140d0ab8b4f7765558ecf,Skream,Midnight Request Line,AMPpod 33 - Glasto Special - Sunday
435faeede7f140d0ab8b4f7765558ecf,Jessie Ware,Still Love Me,AMPpod 33 - Glasto Special - Sunday
435faeede7f140d0ab8b4f7765558ecf,Nick Cave & The Bad Seeds,Where The Wild Roses Grow (feat. Kylie Minogue) [2011 - Remaster],AMPpod 33 - Glasto Special - Sunday
435faeede7f140d0ab8b4f7765558ecf,Earl Sweatshirt,Whoa,AMPpod 33 - Glasto Special - Sunday
435faeede7f140d0ab8b4f7765558ecf,Crystal Castles,Air War,AMPpod 34 - Glasto Special - Misc
435faeede7f140d0ab8b4f7765558ecf,Villagers,Becoming A Jackal,AMPpod 34 - Glasto Special - Misc
435faeede7f140d0ab8b4f7765558ecf,Dizzee Rascal,Brand New Day,AMPpod 34 - Glasto Special - Misc
435faeede7f140d0ab8b4f7765558ecf,Rachel Zeffira,Break The Spell,AMPpod 34 - Glasto Special - Misc
435faeede7f140d0ab8b4f7765558ecf,Fuck Buttons,Bright Tomorrow,AMPpod 34 - Glasto Special - Misc
435faeede7f140d0ab8b4f7765558ecf,Django Django,Firewater,AMPpod 34 - Glasto Special - Misc
435faeede7f140d0ab8b4f7765558ecf,CHIC,I Want Your Love - 2006 Remastered Version,AMPpod 34 - Glasto Special - Misc
435faeede7f140d0ab8b4f7765558ecf,Nas,If I Ruled the World (Imagine That),AMPpod 34 - Glasto Special - Misc
435faeede7f140d0ab8b4f7765558ecf,Gary Clark Jr.,Things Are Changin' - Live [Solo Acoustic],AMPpod 34 - Glasto Special - Misc
435faeede7f140d0ab8b4f7765558ecf,Local Natives,Wide Eyes,AMPpod 34 - Glasto Special - Misc
435faeede7f140d0ab8b4f7765558ecf,Devendra Banhart,Your Fine Petting Duck,AMPpod 34 - Glasto Special - Misc
435faeede7f140d0ab8b4f7765558ecf,Joy Division,A Means To An End - 2007 Remastered Version,AMPpod 3
435faeede7f140d0ab8b4f7765558ecf,Love,Alone Again Or,AMPpod 3
435faeede7f140d0ab8b4f7765558ecf,Emeralds,Candy Shoppe,AMPpod 3
435faeede7f140d0ab8b4f7765558ecf,Fang Island,Careful Crossers,AMPpod 3
435faeede7f140d0ab8b4f7765558ecf,POLIÇA,I See My Mother,AMPpod 3
435faeede7f140d0ab8b4f7765558ecf,Mos Def,Mathematics,AMPpod 3
435faeede7f140d0ab8b4f7765558ecf,Mos Def,May-December,AMPpod 3
435faeede7f140d0ab8b4f7765558ecf,Nick Cave & The Bad Seeds,Red Right Hand - 2011 - Remaster,AMPpod 3
435faeede7f140d0ab8b4f7765558ecf,Every Time I Die,Revival Mode,AMPpod 3
435faeede7f140d0ab8b4f7765558ecf,The Blondes,Wine,AMPpod 3
435faeede7f140d0ab8b4f7765558ecf,Converge,Aimless Arrow,AMPpod 4
435faeede7f140d0ab8b4f7765558ecf,EMA,Anteroom,AMPpod 4
435faeede7f140d0ab8b4f7765558ecf,Portishead,Deep Water,AMPpod 4
435faeede7f140d0ab8b4f7765558ecf,Health,Die Slow,AMPpod 4
435faeede7f140d0ab8b4f7765558ecf,Sunset Rubdown,Idiot Heart,AMPpod 4
435faeede7f140d0ab8b4f7765558ecf,Manic Street Preachers,Ifwhiteamericatoldthetruthforonedayit'sworldwouldfallapart,AMPpod 4
435faeede7f140d0ab8b4f7765558ecf,Portishead,Machine Gun,AMPpod 4
435faeede7f140d0ab8b4f7765558ecf,Boards of Canada,Music Is Math,AMPpod 4
435faeede7f140d0ab8b4f7765558ecf,Björk,Oceania,AMPpod 4
435faeede7f140d0ab8b4f7765558ecf,The Bug,Skeng,AMPpod 4
435faeede7f140d0ab8b4f7765558ecf,Grizzly Bear,Speak In Rounds,AMPpod 4
435faeede7f140d0ab8b4f7765558ecf,Pantha Du Prince,Stick To My Side,AMPpod 4
435faeede7f140d0ab8b4f7765558ecf,Glassjaw,Ape Dos Mil,AMPpod 5
435faeede7f140d0ab8b4f7765558ecf,tUnE-yArDs,Bizness,AMPpod 5
